inst066_atom_id;article_number;circ005_requirement_id;relationship;review_status;activation
INST066_ART048_ATOM001;48;CIRC005_1_17_FCP_PRICE_DETERMINATION;SUPPLEMENTS_OR_CONSTRAINS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART048_ATOM001;48;CIRC005_1_17_A_FCP_PRICE_METHOD_FREQUENCY;SUPPLEMENTS_OR_CONSTRAINS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART049_ATOM001;49;CIRC005_1_14_FCP_INCOME_ALLOCATION;SUPPLEMENTS_OR_CONSTRAINS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART049_ATOM001;49;CIRC005_1_6_FCP_DISTRIBUTION_DATES;SUPPLEMENTS_OR_CONSTRAINS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART050_ATOM001;50;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART051_ATOM001;51;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART052_ATOM001;52;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART053_ATOM001;53;CIRC005_1_18_FCP_REMUNERATION_REIMBURSEMENT;SUPPLEMENTS_OR_CONSTRAINS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART053_ATOM001;53;CIRC005_1_17_B_FCP_TRANSACTION_FEES;SUPPLEMENTS_OR_CONSTRAINS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART053_ATOM001;53;CIRC005_5_4_OTHER_EXPENSES_FUND_ASSETS;SUPPLEMENTS_OR_CONSTRAINS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART053_ATOM001;53;CIRC005_5_4_OTHER_EXPENSES_HOLDER;SUPPLEMENTS_OR_CONSTRAINS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART054_ATOM001;54;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART055_ATOM001;55;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART056_ATOM001;56;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART057_ATOM001;57;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART058_ATOM001;58;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART059_ATOM001;59;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART060_ATOM001;60;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART061_ATOM001;61;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART062_ATOM001;62;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART063_ATOM001;63;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART064_ATOM001;64;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART065_ATOM001;65;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART066_ATOM001;66;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART067_ATOM001;67;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART068_ATOM001;68;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART069_ATOM001;69;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART070_ATOM001;70;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART071_ATOM001;71;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART072_ATOM001;72;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART073_ATOM001;73;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART074_ATOM001;74;CIRC005_1_10_FCP_PARTS_CHARACTERISTICS;SUPPLEMENTS_OR_CONSTRAINS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART074_ATOM001;74;CIRC005_5_2_TARGET_INVESTOR;SUPPLEMENTS_OR_CONSTRAINS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART075_ATOM001;75;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART076_ATOM001;76;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART077_ATOM001;77;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART078_ATOM001;78;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART079_ATOM001;79;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART080_ATOM001;80;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART081_ATOM001;81;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART082_ATOM001;82;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART083_ATOM001;83;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART084_ATOM001;84;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART085_ATOM001;85;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART086_ATOM001;86;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART087_ATOM001;87;CIRC005_1_13_FCP_REDEMPTION_REIMBURSEMENT;SUPPLEMENTS_OR_CONSTRAINS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART087_ATOM001;87;CIRC005_1_13_FCP_SUSPENSION;SUPPLEMENTS_OR_CONSTRAINS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART088_ATOM001;88;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART089_ATOM001;89;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART090_ATOM001;90;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART091_ATOM001;91;;NO_EXACT_LINK_IDENTIFIED;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
INST066_ART092_ATOM001;92;CIRC005_GENERAL_EFFECTIVE_DATE;SUPPLEMENTS_OR_CONSTRAINS;PENDING_LEGAL_AND_COMPLIANCE_REVIEW;FORBIDDEN
